symbol,quantity,price,market_value,weight
TSLA,46.22427044,654.87,30270.88798,0.453710097
AAPL,64.23891841,119.99,7708.02782,0.115530474
AMZN,1.942699195,3074.96,5973.722317,0.089536129
MSFT,14.9517424,230.35,3444.133862,0.051621819
ROKU,8.253764986,347.51,2868.26587,0.042990519
ABNB,10.185,194.39,1979.86215,0.02967483
SHOP.TO,0.9318145,1399.98,1304.521664,0.019552603
GMBL,60.722,17.4,1056.5628,0.015836113
MRNA,7.0996,143.74,1020.496504,0.01529554
GME,4,200.27,801.08,0.012006852
BLK,0.7082964,729.64,516.8013853,0.00774599
GS,1.3587836,344.2,467.6933151,0.007009942
TDOC,2.334071914,190.98,445.7610541,0.006681214
WMT,3.029,131.74,399.04046,0.005980951
SQ,1.5867037,224.84,356.7544599,0.005347154
GOOGL,0.164168899,2026.96,332.7637915,0.004987574
GOOG,0.159318401,2043.2,325.5193559,0.004878992
REGN,0.67146402,473.7,318.0725064,0.004767376
NFLX,0.598,512.18,306.28364,0.004590681
AZN.L,0.038599998,7110,274.4459858,0.004113487
NIO,6.2464,43.35,270.78144,0.004058562
SPOT,0.9612703,272.11,261.5712613,0.003920517
ZM,0.7172044,326.26,233.9951075,0.003507196
DIS,1,191.14,191.14,0.00286487
SPCE,5,33.14,165.7,0.002483566
TXN,0.844651859,175.98,148.6418342,0.002227893
MMM,0.7817796,188.71,147.5296283,0.002211223
UNH,0.3730504,365.58,136.3797652,0.002044105
ENPH,0.87536648,154.95,135.6380361,0.002032988
AESE,35.971,3.71,133.45241,0.002000229
BNGO,14.61,9.03,131.9283,0.001977385
ALGT,0.499,257.74,128.61226,0.001927683
TRVG,25,4.86,121.5,0.001821082
VRTX,0.5608768,216.11,121.2110852,0.001816752
COST,0.363,328.91,119.39433,0.001789522
UPS,0.7307496,159.29,116.4011038,0.001744658
VER,2.9879896,38.31,114.4698816,0.001715713
AMGN,0.4033752,245.94,99.20609669,0.001486934
IBM,0.734832,128.9,94.7198448,0.001419692
PEP,0.694008,134.5,93.344076,0.001399072
IRM,2.6006512,35.8,93.10331296,0.001395463
SNGX,50,1.79,89.5,0.001341456
HD,0.290091589,289.1,83.8654785,0.001257004
NVDA,0.1572263,513.83,80.78758973,0.001210871
EXAS,0.6019456,133.66,80.4560489,0.001205902
ANG.JO,0.0024522,32400,79.45128,0.001190842
V,0.382708416,206.9,79.18237124,0.001186812
INIS,605,0.1237,74.8385,0.001121704
MO,1.434330161,50.55,72.50538965,0.001086735
RBLX,1,70.5,70.5,0.001056677
TWST,0.5121392,130.29,66.72661637,0.001000121
LUV,1.092,61.05,66.6666,0.000999221
CRM,0.311764,212.2,66.1563208,0.000991573
PLTR,2.672,24.32,64.98304,0.000973987
GBTC,1.206233915,52.955,63.87611699,0.000957396
BIDU,0.2393896,257.47,61.63564031,0.000923815
BA,0.23778,255.82,60.8288796,0.000911723
CRIS,5,12.14,60.7,0.000909792
ALB,0.398649014,151.5,60.39532562,0.000905225
CVX,0.572156,103.38,59.14948728,0.000886552
UAL,0.956,60.77,58.09612,0.000870764
SEDG,0.2036,280.94,57.199384,0.000857323
UBER,1,57.08,57.08,0.000855534
XOM,1.005018839,56.49,56.7735142,0.00085094
TLSS,1500,0.0375,56.25,0.000843094
AMC,4,13.93,55.72,0.00083515
PM,0.6229195,89.25,55.59556538,0.000833285
CAT,0.242535611,225.29,54.6408477,0.000818975
ICE,0.4846098,111.2,53.88860976,0.0008077
BG,0.6634817,78.18,51.87099931,0.00077746
MCD,0.2314392,222.44,51.48133565,0.000771619
FB,0.174927494,290.11,50.74821543,0.000760631
DAL,1.005,49,49.245,0.0007381
PLUG,1.23538596,38.28,47.29057453,0.000708807
DX,2.4983784,18.55,46.34491932,0.000694633
GNL,2.55682,17.9,45.767078,0.000685972
MA,0.1251,356.51,44.599401,0.000668471
ABR,2.5860408,16.63,43.0058585,0.000644586
DQ,0.5410995,79.23,42.87131339,0.000642569
NVS,0.492721576,85.94,42.34449222,0.000634673
ILMN,0.1016,415.9,42.25544,0.000633339
VZ,0.715114,56.24,40.21801136,0.000602801
AVGO,0.0829818,474.46,39.37154483,0.000590114
FATE,0.4356824,90.29,39.3377639,0.000589607
TWTR,0.592535979,66.23,39.24365788,0.000588197
UVV,0.6432006,59.07,37.99385944,0.000569465
GIS,0.6200222,60.07,37.24473355,0.000558236
FMS,1,36.73,36.73,0.000550521
KO,0.7205436,50.81,36.61082032,0.000548735
Z,0.251915786,134.61,33.91038396,0.00050826
ADBE,0.0765,441.5,33.77475,0.000506227
CIM,2.55682,12.66,32.3693412,0.000485162
ALK,0.45300003,70.78,32.06334212,0.000480576
GFI.JO,0.0022204,14438,32.0581352,0.000480498
BGS,0.959006242,33.06,31.70474636,0.000475201
ORA,0.38464898,76.02,29.24101546,0.000438274
CRSP,0.2136413,129.61,27.69004889,0.000415028
KHC,0.7011466,39.14,27.44287792,0.000411323
AAL,1.05399996,24.97,26.318379,0.000394469
PYPL,0.1056,241.28,25.479168,0.00038189
PACB,0.612868,33.43,20.48817724,0.000307084
TWO,2.6956188,7.52,20.27105338,0.000303829
SKYW,0.342,57.97,19.82574,0.000297155
SAVE,0.48499998,39.73,19.26904921,0.000288811
RHHBY,0.467236,41.2,19.2501232,0.000288527
JPM,0.1229099,155.14,19.06824189,0.000285801
JNJ,0.114709195,160.04,18.35805952,0.000275157
BIIB,0.0684,267.07,18.267588,0.000273801
CREE,0.1708,106.77,18.236316,0.000273332
MMEDF,6,2.7905,16.743,0.00025095
ITRM,10,1.67,16.7,0.000250305
CODI,0.6634817,24.56,16.29511055,0.000244237
BLNK,0.411,38.24,15.71664,0.000235566
ORC,2.4983784,6.02,15.04023797,0.000225428
QCOM,0.11,131.02,14.4122,0.000216015
EBF,0.6345087,21.3,13.51503531,0.000202568
ATVK,177,0.0725,12.8325,0.000192338
ASML,0.0188232,547.42,10.30419614,0.000154443
TAK,0.4648088,19.81,9.207862328,0.00013801
AC.TO,0.33099998,27.68,9.162079446,0.000137324
MSTR,0.0115,777.04,8.93596,0.000133935
JBLU,0.425,21,8.925,0.000133771
LRCX,0.0155496,542.31,8.432703576,0.000126392
ALXN,0.0544,150.94,8.211136,0.000123071
GILD,0.1252,64.46,8.070392,0.000120962
